,lon,lat,angle,norm,pid_sub,pid_over,length,total_vel,vel,trench_vel,slab_vel_abs,slab_flux,slab_age,spreading_rate,slab_thickness,vratio,slab_dip,trench_ID,Name,Type,Class,density,relative_density
1043,-75.8920257283994,-47.19606242876397,1.7035139081291868,99.26432620850278,802.0,201.0,50169.59062586914,0.0216593091767797,0.0216497366031672,0.0069674875605417,0.0289258518790941,498.6924295850749,5.0,0.072505492070855,23034.57260131836,1.0,,26,Ecuador,Ocean - Continent,Erosive,3199.326862650163,-100.6731373498369
1044,-75.8920257283994,-47.19606242876397,1.7035139081291868,99.26432620850278,802.0,201.0,50169.59062586914,0.0216593091767797,0.0216497366031672,0.0069674875605417,0.0289258518790941,498.6924295850749,5.0,0.072505492070855,23034.57260131836,1.0,,26,South America,Ocean - Continent,Erosive,3199.326862650163,-100.6731373498369
1045,-75.8920257283994,-47.19606242876397,1.7035139081291868,99.26432620850278,802.0,201.0,50169.59062586914,0.0216593091767797,0.0216497366031672,0.0069674875605417,0.0289258518790941,498.6924295850749,5.0,0.072505492070855,23034.57260131836,1.0,,26,South Chile,Ocean - Continent,Accretionary,3199.326862650163,-100.6731373498369
1046,-75.77212320564578,-46.78971922889569,-3.026804521705098,103.91028489220454,802.0,201.0,42087.37461648536,0.0218183003450408,0.0217878625351646,0.0048502718848614,0.0270287130793463,448.8888628753944,4.0,0.0667133483046825,20602.703094482426,1.0,,26,Ecuador,Ocean - Continent,Erosive,3183.902672862923,-116.09732713707717
1047,-75.77212320564578,-46.78971922889569,-3.026804521705098,103.91028489220454,802.0,201.0,42087.37461648536,0.0218183003450408,0.0217878625351646,0.0048502718848614,0.0270287130793463,448.8888628753944,4.0,0.0667133483046825,20602.703094482426,1.0,,26,South America,Ocean - Continent,Erosive,3183.902672862923,-116.09732713707717
1048,-75.77212320564578,-46.78971922889569,-3.026804521705098,103.91028489220454,802.0,201.0,42087.37461648536,0.0218183003450408,0.0217878625351646,0.0048502718848614,0.0270287130793463,448.8888628753944,4.0,0.0667133483046825,20602.703094482426,1.0,,26,South Chile,Ocean - Continent,Accretionary,3183.902672862923,-116.09732713707717
1049,-75.67180414419857,-46.4740650292526,0.7515328002229729,100.06723529182769,802.0,201.0,29801.001902339023,0.0219414016814115,0.0219395142170474,0.0059301724762487,0.0281911376229737,391.4551593262265,3.0,0.0667222311399425,17842.471599578857,1.0,,26,Ecuador,Ocean - Continent,Erosive,3161.301408299708,-138.69859170029213
1050,-75.67180414419857,-46.4740650292526,0.7515328002229729,100.06723529182769,802.0,201.0,29801.001902339023,0.0219414016814115,0.0219395142170474,0.0059301724762487,0.0281911376229737,391.4551593262265,3.0,0.0667222311399425,17842.471599578857,1.0,,26,South America,Ocean - Continent,Erosive,3161.301408299708,-138.69859170029213
1051,-75.67180414419857,-46.4740650292526,0.7515328002229729,100.06723529182769,802.0,201.0,29801.001902339023,0.0219414016814115,0.0219395142170474,0.0059301724762487,0.0281911376229737,391.4551593262265,3.0,0.0667222311399425,17842.471599578857,1.0,,26,South Chile,Ocean - Continent,Accretionary,3161.301408299708,-138.69859170029213
1052,-75.6041056739247,-46.21016493498578,0.7480682787628361,100.01825702332351,802.0,201.0,29801.001902339023,0.0220430128707226,0.0220411341077047,0.0056796481939055,0.0280405583743418,321.4374973336592,2.00417339085175,0.0667299559484512,14583.5280418396,1.0,,26,Ecuador,Ocean - Continent,Erosive,3123.6027698532757,-176.39723014672427
